fold,n_patches,maha_mean,maha_std,maha_median,maha_p90,maha_p95,maha_p99,maha_top5_mean,mahapc_mean,mahapc_p95,mahapc_top5_mean,mahaenergy_mean,mahaenergy_p95,mahaenergy_top5_mean,featnorm_mean,featnorm_p95,featnorm_top5_mean,case_id,encoder,dataset,maha_status,maha_error
0,696,60.85586983756411,15.672680806574354,58.34312317932243,81.26069452673636,90.36490725553936,106.75484445913212,102.66800265550935,61.15256071658321,90.18192916364471,103.16797122992655,81.91899554075816,97.05636514258603,102.92883539459734,15.967212194683908,20.46875,21.39017857142857,a197b70a-357f-11eb-81c9-001a7dda7111,uni2,ebrains,ok,
0,312,74.99469402794017,22.736160440897915,73.29044805487479,105.76080224091496,115.43691392934234,135.04975696950262,125.76046007924302,77.58894728687679,121.29091018115395,131.25065596493891,89.57212008757445,109.67646435979998,114.86729492313208,17.886167868589745,20.71875,21.3134765625,a1963049-357f-11eb-85a4-001a7dda7111,uni2,ebrains,ok,
0,3876,64.76755598250182,22.251435558758807,59.84050065487307,91.99052602784624,107.3733769319379,143.8868042248164,129.55969586602401,65.71514727375076,109.54082293739093,130.47018038196953,84.56383311839863,105.62977804369622,116.73212844848622,17.49912321013932,21.75,22.990415592783506,a197ddb9-357f-11eb-a415-001a7dda7111,uni2,ebrains,ok,
0,682,55.57617531305204,15.606213639230502,53.384237516269856,75.3774756733543,85.64296434514867,104.39984613856367,95.39034917154214,55.153665701344835,83.93135252308726,93.19928539770095,79.31173131067415,94.37459293525804,99.21560266908999,14.89014387829912,18.012499999999996,18.805803571428573,a1960973-357f-11eb-ab24-001a7dda7111,uni2,ebrains,ok,
0,294,60.04411588243253,18.56125640289104,56.92800109644173,86.34117295297024,96.95798379640613,106.09404945642837,103.43682835891359,62.425964252028365,102.56903436995911,107.97172862592937,81.90108424826387,100.22003184196166,103.56487262730346,18.01535926870748,21.42265625,21.966666666666665,a196a5af-357f-11eb-a183-001a7dda7111,uni2,ebrains,ok,
0,2166,70.64665914352261,20.480324664293285,68.33084426378562,98.19032282549463,107.35175676314512,126.97578930030873,119.99251987920098,71.30670013410749,109.72991251280105,121.83973797329436,86.95631346048039,105.70574460929598,111.69383653251792,18.917305084256693,22.90625,23.62858371559633,a1978fab-357f-11eb-aaa9-001a7dda7111,uni2,ebrains,ok,
0,4275,66.99796472999924,18.767880405202373,64.53942797842936,93.11616294699624,101.13256770927788,119.07550834579679,112.05947519641893,64.25694329983415,96.51187010726893,106.67738101765114,84.99288155632014,102.1137105900131,107.56237055244043,15.705714546783625,19.40625,20.20495035046729,a197de01-357f-11eb-bec4-001a7dda7111,uni2,ebrains,ok,
0,2932,67.66457783827984,20.65726416530467,64.46487817951154,95.58558585716747,106.25555465777576,129.94578914682637,120.51921827790464,66.11332600681561,106.52069290525912,119.94107957100933,85.36172362984502,104.63377898454493,111.82143457123922,16.576419679399727,22.272656249999997,23.398915816326532,a196090c-357f-11eb-8d54-001a7dda7111,uni2,ebrains,ok,
0,3330,58.52874027302496,19.306199420719963,54.523295723478356,83.46633127960665,94.56943418851749,122.99495890622173,112.87098411426186,57.31318494763788,92.83247870847349,110.9066624529785,80.75926164162527,98.85643106888416,107.95568781968099,15.100668637387388,20.5,21.42383982035928,a1982c7c-357f-11eb-abcd-001a7dda7111,uni2,ebrains,ok,
0,865,55.8748507901389,14.694248590678606,55.447973860951315,74.37951186286136,81.38369957872735,95.65922939824682,89.75425257380213,56.82287915426927,83.46843862625427,91.14620095720919,79.68985568221575,92.62921721361556,96.72808317097507,17.639803106936416,21.0,21.72372159090909,a197ddd7-357f-11eb-8614-001a7dda7111,uni2,ebrains,ok,
